  skipping invalid sequence (chars=['N'])
Batch 82/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 83/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 84/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 85/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 86/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 87/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 88/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 89/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 90/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 91/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 92/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 93/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 94/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 95/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 96/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 97/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 98/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 99/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 100/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 101/466: RSS 123.5 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 102/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 103/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 104/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 105/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 106/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 107/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 108/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 109/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 110/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 111/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
Batch 112/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.1 MB)
