Batch 83/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 84/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 85/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 86/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 87/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 88/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 89/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 90/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 91/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 92/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 93/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 94/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 95/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 96/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 97/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 98/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 99/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 100/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 101/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
